ID,smiles,toxic,FormalCharge,TPSA,MolWt,HeavyAtoms,NHOH,HAcceptors,HDonors,Heteroatoms,AromaticRings,SaturatedRings,AromaticOH,AromaticN,LogP
25239945,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1[NH3+])O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C[NH3+])O)O)[NH3+])O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)C[NH3+])O)O)[NH3+])O)O)[NH3+],0,6,362.83,620.698,42,25,13,13,19,0,4,7,0,-13.1961
25239946,CCc1c2cc(ccc2nc-3c1Cn4c3cc5c(c4=O)COC(=O)[C@@]5(CC)O)OC(=O)N6CCC(CC6)[NH+]7CCCCC7,0,1,115.4,587.697,43,2,8,2,10,3,2,1,2,2.674
25239947,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,0,0,37.3,298.426,22,1,2,1,2,0,3,1,0,3.4925
25239948,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O,1,0,146.39,729.908,52,3,12,2,12,0,10,1,0,3.438
25239949,Cc1c(c(=O)n2c(n1)C(CCC2)O)CC[NH+]3CCC(CC3)c4c5ccc(cc5on4)F,0,1,85.59,427.5,31,2,6,2,8,3,1,1,3,1.66422
25239950,c1cc(c(c2c1[NH+]=C3NC(=O)CN3C2)Cl)Cl,0,1,46.31,257.1,16,2,2,2,6,1,1,0,0,0.0069
25239951,CC(C)CC(C1(CCC1)c2ccc(cc2)Cl)[NH+](C)C,0,1,4.44,280.863,19,1,0,1,2,1,1,0,0,3.3209
25239952,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@@H]3c4cc5c(cc4[C@H]([C@@H]6[C@@H]3COC6=O)c7cc(c(c(c7)OC)O)OC)OCO5)O)O,0,0,160.83,588.562,42,3,13,3,13,2,3,2,0,1.3386
25239953,CC[NH2+][C@H]1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC,0,1,123.38,384.525,23,4,6,2,11,1,0,0,0,-0.9393
25239954,CN1CC(=O)N2[C@@H](C1=O)Cc3c4ccccc4[nH]c3[C@H]2c5ccc6c(c5)OCO6,0,0,74.87,389.411,29,1,4,1,7,3,1,0,1,2.2113
25239955,C[C@@H]1CC(=O)C=C([C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC,0,0,71.06,352.77,24,0,6,0,7,1,0,0,0,2.8103
25239956,C[NH+](C)CC/C=C\1/c2ccccc2Sc3c1cc(cc3)Cl,0,1,4.44,316.877,21,1,1,1,3,2,0,0,0,3.7709
25239957,c1ccc(c(c1)CC(=O)[O-])Nc2c(cccc2Cl)Cl,0,-1,52.16,295.145,19,1,3,1,5,2,0,0,0,3.0294
25239958,c1cc(ccc1N2CCOCC2=O)N3C[C@@H](OC3=O)CNC(=O)c4ccc(s4)Cl,0,0,88.18,435.889,29,1,6,1,10,2,2,0,0,2.5199
25239959,CCN(c1ccccc1C)C(=O)/C=C/C,0,0,20.31,203.285,15,0,1,0,2,1,0,0,0,2.92402
25239960,Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO,0,1,75.91,265.362,18,3,5,2,6,2,0,1,3,0.60774
25239961,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,0,0,107.22,178.14,12,4,6,4,6,0,1,4,0,-3.0132
25239962,C[NH+]1CCCCC1CCN2c3ccccc3Sc4c2cc(cc4)SC,0,1,7.68,371.595,25,1,3,1,4,2,1,0,0,4.4685
25239963,CC(C)[NH2+]CC(COc1ccccc1OCC=C)O,0,1,55.3,266.361,19,3,3,2,4,1,0,1,0,0.9629
25239964,CC(=O)NCCCS(=O)(=O)[O-],0,-1,86.3,180.205,11,1,4,1,6,0,0,0,0,-0.9422
25239965,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)c3c(cccc3OC)OC)C(=O)[O-])C,0,-1,108,379.414,26,1,7,1,9,1,2,0,0,-0.3856
25239966,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,0,0,189.53,342.297,23,8,11,8,11,0,2,8,0,-5.3956
25239967,CCCCCCCCCCCCCCCCCCCCCCO,0,0,20.23,326.609,23,1,1,1,1,0,0,1,0,7.8006
25239968,CC(C)[NH2+]CC(COc1cccc2c1cccc2)O,0,1,46.07,260.357,19,3,2,2,3,2,0,1,0,1.5513
25239969,CCCCOc1cc(ccc1N)C(=O)OCC[NH+](CC)CC,0,1,65.99,309.43,22,3,4,2,5,1,0,0,0,1.5292
25239970,C[C@@](c1ccccc1)(c2ccc(cc2)Cl)OCC[C@H]3CCC[NH+]3C,0,1,13.67,344.906,24,1,1,1,3,2,1,0,0,3.6873
25239971,CC1(C(=C)N(C2=CC=CC=C21)CCCCCC(=O)O)C,1,0,40.54,273.376,20,1,2,1,3,1,0,0,0,3.9429
25239972,C[C@@H]1O[C@]2(C[NH+]3CCC2CC3)CS1,0,1,13.67,200.327,13,1,2,1,3,0,4,0,0,0.1431
25239973,Cc1c(c(no1)c2ccccc2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],0,-1,115.57,400.436,28,1,7,1,9,2,2,0,1,0.56062
25239974,CCC(C)(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5c6cccc7c6c(c[nH]7)CC5[NH+](C4)C)O,0,1,119.41,592.761,43,4,5,4,10,2,4,1,1,1.4936
25239975,Cc1c(sc(n1)c2ccc(c(c2)C#N)OCC(C)C)C(=O)[O-],0,-1,86.04,315.374,22,0,6,0,6,2,0,0,1,2.3885
25239976,C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],0,0,110.86,146.146,10,5,3,2,5,0,0,0,0,-3.3877
25239977,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,0,0,20.23,396.659,29,1,1,1,1,0,3,1,0,7.641
25239978,c1ccc(cc1)C(c2ccccc2)(c3ccccc3Cl)n4ccnc4,0,0,17.82,344.845,25,0,2,0,3,4,0,0,2,5.3767
25239979,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,0,0,75.27,238.287,17,2,3,2,5,0,1,0,0,1.3511
25239980,Cc1cc(c(n1c2ccccc2)C)/C=C/c3ccc4cc(ccc4[n+]3C)N(C)C,0,1,12.05,382.531,29,0,2,0,3,4,0,0,2,5.30824
25239981,C[NH+]1CCCC(CC1)n2c(=O)c3ccccc3c(n2)Cc4ccc(cc4)Cl,0,1,39.33,382.915,27,1,3,1,5,3,1,0,2,2.8804
25239982,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)[NH3+])C(=O)[O-])C,0,0,117.18,341.433,23,4,5,2,8,0,3,0,0,-1.7718
25239983,C[C@@H]1CCC2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,0,0,241.96,1030.303,73,4,16,4,17,0,3,4,0,5.7224
25239984,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(c4cccs4)(c5cccs5)O)C,0,1,59.06,392.522,26,1,6,1,7,2,3,1,0,2.3457
25239985,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,1,0,206.07,579.986,40,7,12,6,13,2,1,3,0,0.4231
25239986,C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],0,-3,174.25,246.072,14,4,7,2,10,0,0,1,0,-4.518
25239987,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,1,0,163.18,444.488,32,8,10,8,10,2,0,2,0,-0.1392
25239988,CC(C(=O)NCC(=O)[O-])S,0,-1,69.23,162.19,10,1,4,2,5,0,0,0,0,-1.8292
25239989,CC(=O)Nc1ccc(cc1)O,0,0,49.33,151.165,11,2,2,2,3,1,0,0,0,1.3506
25239990,CC1=C(C(=O)c2ccccc2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,0,0,34.14,450.707,33,0,2,0,2,1,0,0,0,9.1576
25239991,C#N,0,0,23.79,27.026,2,0,1,0,1,0,0,0,0,0.13978
25239992,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4c5cccnc5)C)C,0,0,39.19,391.555,29,0,3,0,3,1,2,0,1,5.9694
25239993,CC(C)c1c(c(nc(n1)N(C)S(=O)(=O)C)c2ccc(cc2)F)/C=C/[C@H](C[C@H](CC(=O)[O-])O)O,0,-1,143.75,480.538,33,2,8,2,11,2,0,2,2,1.067
25239994,C(=C/C(=O)[O-])\C(=O)[O-],0,-2,80.26,114.056,8,0,4,0,4,0,0,0,0,-2.9576
25239995,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccsc3)C(=O)[O-])C(=O)[O-])C,0,-2,129.67,382.419,25,1,8,1,10,1,2,0,0,-2.1214
25239996,c1ccc(cc1)CN2C3C[S+]4CCCC4C3N(C2=O)Cc5ccccc5,0,1,23.55,365.522,26,0,1,0,4,2,3,0,0,3.6559
25239997,C=C1CC[C@]2([C@H]3Cc4ccc(c5c4[C@]2([C@H]1O5)CC[NH+]3CC6CC6)O)O,0,1,54.13,340.443,25,3,3,3,4,1,3,1,0,1.0954
25239998,CCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2[C@@H](CC4=CC(=O)C=C[C@]34C)Cl)O)C)C)OC(=O)CC,0,0,106.97,521.05,36,1,7,1,8,0,3,1,0,3.9427
25239999,CC1=C(C(C(=C(N1)C)C(=O)OC)c2ccccc2[N+](=O)[O-])C(=O)OC,0,0,107.77,346.339,25,1,7,1,8,1,0,0,0,2.1756
25240000,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)O,0,0,40.46,296.41,22,2,2,2,2,1,2,1,0,3.6126
25240001,CC(C)CC(C(=O)NC(CCC[NH+]=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(Cc2ccc(cc2)O)NC(=O)C(CO)NC(=O)C(Cc3c[nH]c4c3cccc4)NC(=O)C(Cc5cnc[nH]5)NC(=O)C6CCC(=O)N6,0,1,497.5,1270.441,91,21,15,18,32,4,2,1,3,-5.0251
25240002,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H]([NH2+]C3)C(=O)N(C)C)C(=O)[O-])[C@@H](C)O,0,0,117.59,383.47,26,3,6,2,9,0,2,1,0,-2.6689
25240003,c1ccc(cc1)C(CCC[NH+]2CCCCC2)(c3ccccc3)O,0,1,24.67,310.461,23,2,1,2,2,2,1,1,0,2.7715
25240004,Cc1c(noc1[N-]S(=O)(=O)c2ccc(cc2)N)C,0,-1,100.29,266.302,18,2,5,1,7,2,0,0,1,2.26774
25240005,C[NH+](C)CC/C=C\1/c2ccccc2COc3c1cc(cc3)CC(=O)[O-],0,0,53.8,337.419,25,1,3,1,4,2,0,0,0,0.8377
25240006,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],0,0,157.11,227.085,15,0,9,0,12,0,0,0,0,-1.0201
25240007,c1cc2c(cc1F)CCC(O2)C(C[NH2+]CC(C3CCc4cc(ccc4O3)F)O)O,0,1,75.53,406.449,29,4,4,3,7,2,0,2,0,1.3374
25240008,COc1ccc(c(c1)C(CNC(=O)C[NH3+])O)OC,0,1,95.43,255.294,18,5,4,3,6,1,0,1,0,-0.9047
25240009,c1ccc(cc1)C2(C(=O)NC(=O)N2)c3ccccc3,0,0,58.2,252.273,19,2,2,2,4,2,1,0,0,1.7696
25240010,CC1=C(C(=O)C2=C(C1=O)[NH+]3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)[NH3+],0,2,149.71,336.348,24,7,6,4,9,0,2,0,0,-3.7851
25240011,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C,0,0,43.37,340.463,25,0,3,0,3,0,3,0,0,4.0633
25240012,CCC(=O)[C@]1([C@@H](CC2[C@@]1(C[C@@H](C3C2CCC4=CC(=O)C=C[C@]34C)O)C)C)C,0,0,54.37,370.533,27,1,3,1,3,0,3,1,0,4.4965
25240013,c1ccc2c(c1)[NH+]=C(c3cc(ccc3O2)Cl)N4CC[NH2+]CC4,0,2,43.05,315.804,22,3,2,2,5,2,1,0,0,0.4836
25240014,C[N+]1(CCN(CC1)CC(c2ccccc2)(C3CCCCC3)O)C,0,1,23.47,317.497,23,1,2,1,3,1,2,1,0,2.8465
25240015,[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,0,-2,161.18,208.122,14,4,8,4,8,0,0,4,0,-6.0702
25240016,C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O,0,0,91.06,191.139,13,1,6,1,7,0,2,1,0,-1.2782
25240017,Cc1cc2=C(Nc3ccccc3N=c2s1)N4CC[NH+](CC4)C,0,1,32.07,313.45,22,2,4,2,5,2,1,0,0,0.32932
25240018,CC(C)(C)[NH2+]CC(c1ccc(c(n1)CO)O)O,0,1,90.19,241.311,17,5,4,4,5,1,0,2,1,-0.3252
25240019,CC(=O)N(CC(CO)O)c1c(c(c(c(c1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I,0,0,179.66,791.115,32,7,8,7,14,1,0,5,0,-0.9884
25240020,Cc1c(cc2cc3c(c(c2c1O)[O-])C(=O)[C@H]([C@@H](C3)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]4C[C@H]([C@@H]([C@H](O4)C)O)O[C@H]5C[C@H]([C@H]([C@H](O5)C)O)O[C@H]6C[C@]([C@@H]([C@H](O6)C)O)(C)O)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@H]([C@@H]([C@H](O8)C)O)O,0,-1,361.03,1084.148,76,10,24,10,24,2,5,9,0,-0.88128
25240021,C[C@@H]([C@@H](c1ccc(cc1)O)O)[NH2+]CCc2ccc(cc2)O,0,1,77.3,288.367,21,5,3,4,4,2,0,1,0,1.3258
25240022,Cc1c(ccnc1CS(=O)c2[nH]c3ccccc3n2)OCCCOC,0,0,77.1,359.451,25,1,5,1,7,3,0,0,3,2.98942
25240023,CCN(CC)C(=O)C1C[NH+]2CCc3cc(c(cc3C2CC1OC(=O)C)OC)OC,0,1,69.51,405.515,29,1,5,1,7,1,1,0,0,1.0059
25240024,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,1,0,122.91,359.354,25,3,8,3,10,1,1,2,2,0.7602
25240025,Cc1c(c2c3c4c1O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(\C(=O)Nc(c2O)c(c3O)/C=N/N5CC[NH+](CC5)C6CCCC6)/C)C)O)C)O)C)OC(=O)C)C)OC)C)O,0,1,221.35,878.053,63,7,14,7,16,2,2,2,0,4.23112
25240026,C=CC[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2C(=O)CC[C@]3([C@H]1C5)O)O,0,1,71.2,328.388,24,3,4,3,5,1,2,1,0,-0.1157
25240027,CNC(=O)C[NH+](CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],0,-2,189.51,417.419,29,3,10,3,13,0,0,0,0,-8.783
25240028,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,0,0,20.23,384.648,28,1,1,1,1,0,3,1,0,7.619
25240029,C[N+]1(CCc2cc(c(c(c2[C@H]1Cc3cc(c(c(c3)OC)OC)OC)OC)OC)OC)CCCOC(=O)CCC(=O)OCCC[N+]4(CCc5cc(c(c(c5[C@@H]4Cc6cc(c(c(c6)OC)OC)OC)OC)OC)OC)C,0,2,163.36,1035.238,74,0,16,0,18,4,0,0,0,7.7098
25240030,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,0,0,94.83,392.467,28,3,5,3,6,0,3,3,0,1.8957
25240031,CC(C)[NH+]1CCN(CC1)c2ccc(cc2)OC[C@H]3CO[C@](O3)(Cn4cncn4)c5ccc(cc5Cl)Cl,0,1,66.08,533.48,36,1,7,1,10,3,2,0,3,3.0456
25240032,C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CC[NH+](CC4)C)F)C(=O)[O-],0,0,79.04,361.373,26,1,6,1,8,2,1,0,1,-1.2078
25240033,C=CN1CCCC1=O,0,0,20.31,111.144,8,0,1,0,2,0,1,0,0,0.7523
25240034,C(C[NH2+]CCNCC[NH2+]CCN)N,0,2,97.29,191.323,13,9,3,5,5,0,0,0,0,-4.3798
25240035,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3[O-])C(=O)c5cccc(c5C4=O)OC)[O-])(C(=O)CO)O)[NH3+])O,0,-1,213.35,542.517,39,6,11,4,12,2,1,3,0,-1.9795
25240036,C[C@H](Cc1ccc(c(c1)O)O)[C@@H](C)Cc2ccc(c(c2)O)O,0,0,80.92,302.37,22,4,4,4,4,2,0,0,0,3.5664
25240037,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCC[NH3+])O)O)O,0,1,207.46,561.701,39,8,8,6,14,0,0,0,0,0.2053
25240038,CC(C)([C@H](C(=O)[O-])[NH3+])S,0,0,67.77,149.215,9,3,3,2,4,0,0,0,0,-1.9448
25240039,C#CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],0,-2,212.96,475.465,35,5,11,3,12,3,0,0,4,-1.6878
25240041,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,1,0,83.55,258.233,19,1,4,1,6,1,1,0,0,0.0878
25240042,CC(=O)CCc1ccc2cc(ccc2c1)OC,0,0,26.3,228.291,17,0,2,0,2,2,0,0,0,3.37
25240043,c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCC3)O,0,1,24.67,288.455,21,2,1,2,2,1,2,1,0,2.5233
25240044,C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,0,0,142.7,540.708,36,4,8,4,12,0,1,0,0,1.4296
25240045,CC1=C(C(C(=C(N1)C)C(=O)OCC[NH+](C)Cc2ccccc2)c3cccc(c3)[N+](=O)[O-])C(=O)OC,0,1,112.21,480.541,35,2,7,2,9,2,0,0,0,2.2607
25240046,c1cc(c(cc1C[C@@H](C(=O)[O-])[NH3+])O)O,0,0,108.23,197.19,14,5,4,3,5,1,0,0,0,-1.9993
25240047,CC(C)[NH2+]CC(c1ccc(cc1)NS(=O)(=O)C)O,0,1,83.01,273.378,18,4,3,3,6,1,0,1,0,0.0633
25240048,CC(C(=O)[O-])O,0,-1,60.36,89.07,6,1,3,1,3,0,0,1,0,-1.8829
25240049,CCC(=O)N(c1ccccc1)C2(CC[NH+](CC2)CCC(=O)OC)C(=O)OC,0,1,77.35,377.461,27,1,5,1,7,1,1,0,0,0.5832
25240050,CC[NH+](CC)CC#CCOC(=O)C(c1ccccc1)(C2CCCCC2)O,0,1,50.97,358.502,26,2,3,2,4,1,1,1,0,1.9258
25240051,c1ccc(cc1)C2(C(=O)N(C(=O)N2)COP(=O)([O-])[O-])c3ccccc3,0,-2,121.83,360.262,25,1,6,1,9,2,1,0,0,0.2848
25240052,CC(=O)[O-],0,-1,40.13,59.044,4,0,2,0,2,0,0,0,0,-1.2438
25240053,C/[NH+]=C\1/CN(C(=c2cc(ccc2=N1)Cl)c3ccccc3)[O-],0,0,52.63,299.761,21,1,2,1,5,2,0,0,0,0.0384
25240054,CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CC(C(=O)CC3C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)c4c(cccn4)O)C)c5ccccc5)CS[C@@H]6C[NH+]7CCC6CC7)Cc8ccc(cc8)N(C)C)C,0,1,232.4,1023.247,73,5,13,5,20,3,6,0,1,0.9064
25240055,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1,0,124.44,384.245,28,4,6,4,9,2,0,0,2,0.3606
25240056,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,0,0,81.7,495.745,35,1,5,1,6,0,1,0,0,6.8819
25240057,c1cc(ccc1NC(=[NH2+])NC(=[NH2+])NCCCCCCNC(=[NH2+])NC(=[NH2+])Nc2ccc(cc2)Cl)Cl,0,4,174.54,509.49,34,14,0,10,12,2,0,0,0,-3.1034
