classification,residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
HYDROLASE,890,2,96832.68,289,2.56,51.86,4
HYDROLASE,890,2,96832.68,289,2.58,52.27,4
HYDROLASE,297,1.47,33170.3,290,2.11,41.82,4
HYDROLASE,278,1.7,30972.88,290,2.49,50.66,4
HYDROLASE,2176,2.87,240578.86,290,2.8,56.07,4
HYDROLASE,971,1.9,112228.3,291,4.5,72.5,4
HYDROLASE,971,2.1,118800.71,291,4.5,72.5,4
HYDROLASE,828,1.6,90605.6,291,2.09,40.09,4
HYDROLASE,1432,1.82,159307.64,291,2.14,42.63,4
HYDROLASE,1696,2.2,202370.2,291,3.94,68.78,4
HYDROLASE,848,2.4,101020.66,291,4.45,72.34,4
HYDROLASE,264,1.23,28184.63,291,2.04,39.58,4
HYDROLASE,1116,2.9,124847.27,291,2.53,51.36,4
HYDROLASE,1704,2.3,207056.64,291,3.45,64.35,4
HYDROLASE,170,1.35,20028.54,291,1.91,35.71,4
HYDROLASE,170,1.8,20181.75,291,1.91,35.75,4
HYDROLASE,1704,2.2,212453,291,3.45,64.3,4
HYDROLASE,662,1.95,73715.72,291,2.12,41.95,4
HYDROLASE,662,2,74036.7,291,2.14,42.43,4
HYDROLASE,207,1.27,25230.22,291,3.01,59.2,4
HYDROLASE,198,1.7,22407.57,291,2.12,42.06,4
HYDROLASE,198,1.38,22290.56,291,2.15,42.74,4
HYDROLASE,378,1.5,42338.24,291,2.35,47.76,4
HYDROLASE,1088,1.95,118903.18,291,3.42,64.03,4
HYDROLASE,1088,2.28,119841.09,291,3.42,64.06,4
HYDROLASE,1088,2.8,119511.62,291,3.38,63.6,4
HYDROLASE,418,2.6,48027.13,292,2.15,42.79,4
HYDROLASE,119,1.38,13450.03,292,2.03,39.36,4
HYDROLASE,427,1.43,49483.01,292,2.08,40.87,4
HYDROLASE,194,1.55,21311.85,277,2.51,51,4
HYDROLASE,1716,2.15,188212.12,277,3.1,60.36,4
HYDROLASE,179,1.4,20400.28,277,2.08,40.74,4
HYDROLASE,156,1.55,16953.19,277,2.29,46.23,4
HYDROLASE,2388,2.3,278234.34,277,2.66,53.8,4
HYDROLASE,257,1.98,29584.56,277,3.43,64.11,4
HYDROLASE,396,1.8,44019.53,277,2.15,42.74,4
HYDROLASE,227,1,23117.31,293,1.94,36.54,4
HYDROLASE,852,2.5,102618.05,293,2.6,54,4
HYDROLASE,764,2,82450.12,293,2.3,46.1,4
HYDROLASE,266,1.92,30186.17,293,2.17,43.23,4
HYDROLASE,252,2.15,27762.91,293,2.28,45.96,4
HYDROLASE,265,1.75,30165.05,293,3.41,63.94,4
HYDROLASE,264,2.8,29889.9,293,3.54,65.3,4
HYDROLASE,446,2.5,50405.34,293,2.38,48.42,4
HYDROLASE,584,1.55,70844.84,293,2.01,38.77,4
HYDROLASE,129,1.35,15050.14,293,1.99,38.08,4
HYDROLASE,129,1.58,14287.15,293,2.28,46.07,4
HYDROLASE,129,1.56,15171.98,293,2,38.4,4
HYDROLASE,604,1.8,66956.13,293,2.82,56.45,4
HYDROLASE,1365,2.3,150629.61,293,2.9,57.6,4
HYDROLASE,359,1.85,40905.25,293,2.09,41.25,4
HYDROLASE,170,1.4,20002.62,293,1.9,35.21,4
HYDROLASE,170,1.2,20027.47,293,1.92,35.95,4
HYDROLASE,129,2.05,15120.24,293,1.93,36.28,4
HYDROLASE,175,1.9,19340.97,293,2.24,45.19,4
HYDROLASE,129,2.1,14566.87,293,1.99,38.32,4
HYDROLASE,436,1.7,48015.36,293,2.06,40.39,4
HYDROLASE,1620,2.5,181751.75,293,4.93,75.07,4
HYDROLASE,352,1.9,41760.1,293,2.05,39.87,4
HYDROLASE,854,2.76,92576.78,293,2.65,53.56,4
HYDROLASE,129,1.45,15438.3,293,1.95,36.85,4
HYDROLASE,1200,1.9,128334.9,294,2.15,42.85,4
HYDROLASE,157,1.8,17808.62,294,3.58,65.64,4
HYDROLASE,129,2.1,15251.29,294,1.87,34.07,4
HYDROLASE,129,2.3,15367.51,294,1.88,34.48,4
HYDROLASE,129,2,15582.5,294,1.91,35.56,4
HYDROLASE,129,2,15622.54,294,1.9,35.15,4
HYDROLASE,206,2.1,21553.81,295,4.51,72.71,4
HYDROLASE,209,2,22075.4,295,4.49,72.59,4
HYDROLASE,392,2.7,44253.46,295,5.31,76.82,4
HYDROLASE,388,2.5,43343.74,295,5.25,76.58,4
HYDROLASE,682,1.25,76715,295,1.83,32.6,4
HYDROLASE,129,1.8,14686.98,295,2.01,38.78,4
HYDROLASE,669,1.9,76527.18,295,2.78,55.81,4
HYDROLASE,245,1.69,26757,295,2.04,39.73,4
HYDROLASE,470,2.1,51636.47,295,2.05,39.93,4
HYDROLASE,422,2.49,47622.51,295,3.98,69.1,4
HYDROLASE,716,2.4,80348.95,296,3,71.68,4
HYDROLASE,716,2.4,80348.95,296,3,71.66,4
HYDROLASE,1064,2.4,124537.7,296,2.26,45.57,4
HYDROLASE,364,2.31,36863.53,298,2.06,40.33,4
HYDROLASE,364,2,36758.44,298,1.46,15.6,4
HYDROLASE,584,2.36,65924.2,298,2.7,53.3,4
HYDROLASE,722,2.09,80177.23,298,2.3,46,4
HYDROLASE,316,1.6,34713.73,298,1.97,37.45,4
HYDROLASE,584,1.48,65944.27,298,2.69,54.19,4
HYDROLASE,584,2.07,65942.23,298,2.67,53.95,4
HYDROLASE,306,1.9,35268.62,298,2.04,39.8,4
HYDROLASE,306,2,35752.02,298,2.02,38.98,4
HYDROLASE,330,1.99,37435.75,298,2.17,43.21,4
HYDROLASE,1018,2.1,116155.07,298,2.32,46.91,4
HYDROLASE,206,1.5,23156.02,298,2.24,45.16,4
HYDROLASE,1332,2.54,154829.3,298,2.17,43.23,4
HYDROLASE,444,2.44,51345.58,298,1.85,33.44,4
HYDROLASE,148,2.02,17203.26,298,1.64,25.18,4
HYDROLASE,226,1.8,26336.5,298,3.21,61.72,4
HYDROLASE,1542,2.2,181800.06,298,2.22,44.68,4
HYDROLASE,514,2.1,61112.29,298,2.27,45.86,4
HYDROLASE,514,1.69,61009.16,298,2.23,44.8,4
HYDROLASE,696,2.42,77159.96,298,2.4,48.81,4
HYDROLASE,1224,2.69,139606.83,283,2.46,49.96,4
HYDROLASE,1224,2.69,139606.83,283,2.46,49.96,4
HYDROLASE,1236,1.9,137319.86,292.15,2.15,42.8,4
HYDROLASE,198,0.82,21116.01,298,2.49,50.58,4.25
HYDROLASE,330,1.8,34221.43,288,2.49,50.57,4.5
HYDROLASE,820,2.3,89467.3,273,2.48,50.45,4.5
HYDROLASE,294,2.15,33418.5,289,4.39,71.97,4.5
HYDROLASE,316,1.69,33616.64,289,3,59.03,4.5
HYDROLASE,406,1.8,45917.73,289,2.14,42.63,4.5
HYDROLASE,1218,2.2,138719.88,289,3.08,60.1,4.5
HYDROLASE,104,1.1,12385.01,289,1.79,31.24,4.5
HYDROLASE,268,1.65,29222.2,289,2.89,57.39,4.5
HYDROLASE,268,1.65,29293.97,289,2.9,57.6,4.5
HYDROLASE,654,2.46,73835.38,289,2.74,55.1,4.5
HYDROLASE,862,1.6,94079.02,289,2.18,43.48,4.5
HYDROLASE,431,1.14,46993.43,289,2.14,42.53,4.5
HYDROLASE,536,1.65,58385.35,289,2.89,57.37,4.5
HYDROLASE,536,1.65,58742.1,289,2.9,57.65,4.5
HYDROLASE,258,1.92,29198.68,289,2,38.53,4.5
HYDROLASE,738,1.92,80312.31,289,2.33,47.15,4.5
HYDROLASE,566,1.9,64480.77,290,2.21,44.34,4.5
HYDROLASE,215,2.02,25009.71,290,2.11,41.79,4.5
HYDROLASE,344,1.76,39764.94,290,3.65,66.29,4.5
HYDROLASE,896,2.56,98787.74,290,2.73,54.87,4.5
HYDROLASE,129,1.84,14503.36,291,2.07,40.58,4.5
HYDROLASE,258,1.6,30819.69,291,1.8,33,4.5
HYDROLASE,1852,1.9,207343.12,291,2.67,54,4.5
HYDROLASE,214,1.5,22987.06,291,2.91,57.74,4.5
HYDROLASE,588,2.4,66818.72,291,3.29,62.61,4.5
HYDROLASE,588,2.47,66408.59,291,3.27,62.41,4.5
HYDROLASE,588,2.4,66739.73,291,3.29,62.65,4.5
HYDROLASE,754,2.3,83722.05,291,2.4,48.67,4.5
HYDROLASE,588,2.4,66236.47,291,3.31,62.8,4.5
HYDROLASE,588,2.38,66364.57,291,3.27,62.34,4.5
HYDROLASE,588,2.35,66472.77,291,3.3,62.78,4.5
HYDROLASE,588,2.4,66582.86,291,3.23,61.97,4.5
HYDROLASE,588,3.1,65982.13,291,3.29,62.64,4.5
HYDROLASE,128,1.92,13686.46,291,3.53,65.15,4.5
HYDROLASE,129,1.81,14672.11,291,2,38.48,4.5
HYDROLASE,129,1.82,14367.02,291,2.07,40.69,4.5
HYDROLASE,588,2.85,66842.66,291,3.22,61.77,4.5
HYDROLASE,588,2.95,66504.67,291,3.29,62.56,4.5
HYDROLASE,588,2.6,66704.89,291,3.35,63.28,4.5
HYDROLASE,588,2.35,66346.51,291,3.31,62.81,4.5
HYDROLASE,588,2.53,67150.48,291,3.28,62.52,4.5
HYDROLASE,588,2.62,66407.53,291,3.26,62.32,4.5
HYDROLASE,170,1.76,20089.61,291,1.92,36.03,4.5
HYDROLASE,1092,2.34,126605.78,291,2,38.61,4.5
HYDROLASE,499,2.05,57367.83,291,2.94,58.16,4.5
HYDROLASE,780,2.09,88562.69,291,2.16,43,4.5
HYDROLASE,780,2.3,89131.39,291,2.36,47.95,4.5
HYDROLASE,184,1.39,21086.06,291,2.04,39.64,4.5
HYDROLASE,538,2.35,60813.76,291,3.54,65.25,4.5
HYDROLASE,554,1.7,62369.19,292,2.75,55,4.5
HYDROLASE,1408,2.1,153818.3,292,2.77,55.61,4.5
HYDROLASE,1408,1.8,153642.41,292,2.83,56.52,4.5
HYDROLASE,1414,1.8,154062.7,292,2.81,56.29,4.5
HYDROLASE,356,1.8,38631.82,292,2.22,44.7,4.5
HYDROLASE,354,3.1,37616.99,292,2.14,42.61,4.5
HYDROLASE,1124,1.99,121668.4,292,2.64,53.38,4.5
HYDROLASE,414,1.9,43764.58,292,2.2,43.97,4.5
HYDROLASE,897,1.5,93500.96,292,1.98,38.03,4.5
HYDROLASE,129,1.6,14790.29,277,2.08,40.4,4.5
HYDROLASE,366,2.1,42461.82,277,2.52,51.14,4.5
HYDROLASE,129,1.75,15129.93,277,2,38.47,4.5
HYDROLASE,129,1.6,15684.8,277,2.02,39.25,4.5
HYDROLASE,102,1.9,11735.42,277,2.01,38.67,4.5
HYDROLASE,444,1.95,50106.27,277,2.46,50.08,4.5
HYDROLASE,194,1.25,22847.28,277,2.04,39.67,4.5
HYDROLASE,129,1.75,15711.99,277,2.01,38.9,4.5
HYDROLASE,129,1.75,14935.03,277,1.98,37.84,4.5
HYDROLASE,235,1.05,25651.33,277,2.43,49.28,4.5
HYDROLASE,284,2.2,32467.64,277,2.46,50.09,4.5
HYDROLASE,194,1.65,23038.41,277,1.9,35.4,4.5
HYDROLASE,355,1.14,39773.19,277,2.61,52.81,4.5
HYDROLASE,355,1.04,39659.89,277,2.61,52.87,4.5
HYDROLASE,628,1.6,73247.17,277,2.88,57.35,4.5
HYDROLASE,2060,2.1,225785.3,277,2.24,45.13,4.5
HYDROLASE,1000,1.8,109813.93,277,2.57,52.11,4.5
HYDROLASE,1808,2.1,199166.44,277,2.54,51.59,4.5
HYDROLASE,1808,2.08,201356.09,277,2.54,51.59,4.5
HYDROLASE,361,1.25,40183.64,277,2.16,43.1,4.5
HYDROLASE,129,1.46,14331.16,277,1.99,38.28,4.5
HYDROLASE,374,1.3,44186.57,277,2.23,44.94,4.5
HYDROLASE,374,1.64,44179.3,277,2.25,45.4,4.5
HYDROLASE,374,1.54,44076.05,277,2.25,45.4,4.5
HYDROLASE,374,1.49,44175.29,277,2.25,45.4,4.5
HYDROLASE,374,1.64,44171.32,277,2.25,45.4,4.5
HYDROLASE,374,1.67,44264.66,277,2.24,45.17,4.5
HYDROLASE,374,1.72,44332.67,277,2.25,45.24,4.5
HYDROLASE,374,1.52,44199.44,277,2.24,45.15,4.5
HYDROLASE,374,1.48,44238.45,277,2.23,44.89,4.5
HYDROLASE,374,1.58,44312.55,277,2.25,45.25,4.5
HYDROLASE,374,1.73,44509.54,277,2.24,45.08,4.5
HYDROLASE,374,1.6,44415.06,277,2.24,45.12,4.5
HYDROLASE,374,1.58,44512.51,277,2.25,45.23,4.5
HYDROLASE,374,1.52,44350.63,277,2.25,45.27,4.5
HYDROLASE,374,1.69,44269.14,277,2.25,45.4,4.5
HYDROLASE,374,1.55,44276.07,277,2.24,45.08,4.5
HYDROLASE,166,1.63,19110.8,277,2.51,50.96,4.5
HYDROLASE,129,1.65,14402.07,293,1.93,36.15,4.5
HYDROLASE,271,1.75,29624.22,293,2.4,48.66,4.5
HYDROLASE,129,0.94,14531.42,293,1.67,26.7,4.5
HYDROLASE,530,2.6,62275.69,293,3.57,65.57,4.5
HYDROLASE,530,2.4,62555.83,293,3.62,66,4.5
HYDROLASE,530,2.1,62638.11,293,3.6,65.84,4.5
HYDROLASE,530,2.3,61899.65,293,3.56,65.46,4.5
HYDROLASE,530,3,61473.45,293,3.61,65.92,4.5
HYDROLASE,130,1.4,14720.69,293,1.93,36.24,4.5
HYDROLASE,114,1.8,12488.15,293,2.13,42.4,4.5
HYDROLASE,362,1.5,41105.23,293,2,37.87,4.5
HYDROLASE,129,1.5,14818.93,293,1.77,29.8,4.5
HYDROLASE,217,1.8,25724.95,293,1.92,35.28,4.5
HYDROLASE,217,1.8,25692.95,293,1.92,35.91,4.5
HYDROLASE,217,1.8,25322.69,293,1.9,35.17,4.5
HYDROLASE,588,2.55,65793.84,293,3.26,62.32,4.5
HYDROLASE,508,1.74,56910.93,293,2.32,47.08,4.5
HYDROLASE,518,1.55,58478.86,293,2.6,52,4.5
HYDROLASE,518,1.87,58474.83,293,2.6,52,4.5
HYDROLASE,518,1.89,59826.09,293,3.2,61,4.5
HYDROLASE,263,0.98,29275.42,293,2,38.4,4.5
HYDROLASE,263,1.2,28998.28,293,1.66,26.1,4.5
HYDROLASE,263,1.1,29111.35,293,1.72,28.4,4.5
HYDROLASE,263,1.74,28586.9,293,2,38.4,4.5
HYDROLASE,104,1.51,12115.8,293,1.82,32.33,4.5
HYDROLASE,104,1.78,11923.67,293,1.95,36.91,4.5
HYDROLASE,197,1.98,23264.72,293,2.8,55,4.5
HYDROLASE,197,1.8,23305.02,293,2.8,55,4.5
HYDROLASE,197,1.75,23186.65,293,2.8,55,4.5
HYDROLASE,129,1.16,14579.18,293,1.54,20.31,4.5
HYDROLASE,460,3,51321.21,293,3.04,59.49,4.5
HYDROLASE,680,1.9,74889.4,293,3.13,60.64,4.5
HYDROLASE,224,1.7,25834.07,293,2.83,56.51,4.5
HYDROLASE,129,1.35,14685.93,293,1.98,38,4.5
HYDROLASE,129,1.65,15220.39,293,2,38.44,4.5
HYDROLASE,96,1.6,10624.9,293,2.05,40.07,4.5
HYDROLASE,129,1.4,14786.51,293,2,38.53,4.5
HYDROLASE,129,1.45,14786.51,293,2,38.61,4.5
HYDROLASE,129,1.55,14705.23,293,1.98,37.8,4.5
HYDROLASE,129,1.5,15162.68,293,1.99,38.21,4.5
HYDROLASE,129,1.55,15251.76,293,1.98,37.78,4.5
HYDROLASE,129,1.55,15627.93,293,1.98,37.93,4.5
HYDROLASE,129,1.5,15077.95,293,1.98,37.8,4.5
HYDROLASE,129,1.75,14907.59,293,1.97,37.54,4.5
HYDROLASE,129,1.6,14732.27,293,2.01,38.8,4.5
HYDROLASE,129,1.49,14555.01,293,1.99,38.31,4.5
HYDROLASE,129,1.2,15222.45,293,2.01,38.65,4.5
HYDROLASE,129,1.05,14721.38,293,1.99,38.1,4.5
HYDROLASE,129,1.17,14708.68,293,1.9,35.42,4.5
HYDROLASE,129,1.17,15018.04,293,1.92,35.82,4.5
HYDROLASE,129,1.5,14646.99,293,1.98,38.02,4.5
HYDROLASE,129,2.1,15329.54,293,1.96,37.26,4.5
HYDROLASE,864,2.1,95085.35,293,2.38,48.22,4.5
HYDROLASE,230,2.3,25368.03,293,3.59,65.72,4.5
HYDROLASE,1038,2.2,118763.91,293,2.36,47.78,4.5
HYDROLASE,664,2.5,75262.95,293,2.68,54.02,4.5
HYDROLASE,682,2,76702.95,293,2.33,47.12,4.5
HYDROLASE,680,1.9,76426.66,293,2.23,44.72,4.5
HYDROLASE,430,2.24,49205.86,293,2.75,55.21,4.5
HYDROLASE,438,2.1,49645.71,293,2.08,40.99,4.5
HYDROLASE,252,1.38,29534.29,293,1.94,36.52,4.5
HYDROLASE,130,1.8,14784.75,293,2.9,57.6,4.5
HYDROLASE,391,2.1,44039.51,293,3.01,59.17,4.5
HYDROLASE,129,1.4,14366.61,293,2.08,40.8,4.5
HYDROLASE,129,1.5,14366.61,293,2.09,41.18,4.5
HYDROLASE,129,1.38,14366.61,293,2.08,40.97,4.5
HYDROLASE,1164,2.7,126717.1,293,4.44,72.29,4.5
HYDROLASE,206,2.27,23735.27,293,2.43,49.4,4.5
HYDROLASE,330,1.75,38834.36,293,2.43,49.48,4.5
HYDROLASE,2842,2.1,316349.69,293,2.43,49.35,4.5
HYDROLASE,564,1.3,59747.73,293,1.9,35.18,4.5
HYDROLASE,452,3.1,53582.8,293,3.07,59.99,4.5
HYDROLASE,129,1.77,14906.16,293,1.98,37.92,4.5
HYDROLASE,129,2,14331.16,293,2.08,40.73,4.5
HYDROLASE,129,2,14721.32,293,2.07,40.62,4.5
HYDROLASE,129,2,14916.39,293,2.07,40.69,4.5
HYDROLASE,129,2,14721.32,293,2.07,40.65,4.5
HYDROLASE,129,2,15111.47,293,2.07,40.62,4.5
HYDROLASE,129,2,15306.55,293,2.07,40.66,4.5
HYDROLASE,129,2,14916.39,293,2.07,40.67,4.5
HYDROLASE,218,1.86,25464.22,293,2.06,40.29,4.5
HYDROLASE,129,2.3,15154.42,293,1.94,36.5,4.5
HYDROLASE,1646,2.7,193772.42,293,2.89,57.43,4.5
HYDROLASE,1646,3.2,192596.91,293,2.98,58.67,4.5
HYDROLASE,1646,3.19,192678.92,293,2.93,58.08,4.5
HYDROLASE,1646,3.19,192598.88,293,2.95,58.32,4.5
HYDROLASE,129,2.3,15154.42,293,1.94,36.5,4.5
HYDROLASE,129,1.66,14526.13,293,1.97,37.69,4.5
HYDROLASE,129,1.48,14476.49,293,2.06,40.37,4.5
HYDROLASE,129,1.63,14476.49,293,2.09,41.28,4.5
HYDROLASE,129,1.82,14499.52,293,2.1,41.36,4.5
HYDROLASE,129,1.09,15332.4,293,2.01,38.94,4.5
HYDROLASE,129,1.7,14452.08,293,2,38.64,4.5
HYDROLASE,129,1.1,14487.53,293,2.03,39.32,4.5
HYDROLASE,129,1.5,14425.55,293,2.07,40.54,4.5
HYDROLASE,129,1.52,14425.55,293,2.06,40.22,4.5
HYDROLASE,129,1.58,14425.55,293,2.06,40.27,4.5
HYDROLASE,129,1.64,14885.73,293,2.05,39.92,4.5
HYDROLASE,129,1.37,14921.19,293,2,38.62,4.5
HYDROLASE,129,1.35,14921.19,293,2.01,38.66,4.5
HYDROLASE,129,1.7,14956.64,293,1.99,38.32,4.5
HYDROLASE,1266,1.76,141703.53,293,2.5,50.78,4.5
HYDROLASE,129,1.85,14627.2,293,1.97,37.52,4.5
HYDROLASE,338,1.29,39883.16,293,2.04,39.63,4.5
HYDROLASE,450,1.5,51609.73,293,2.48,50.46,4.5
HYDROLASE,129,1.7,20320.55,293,2.03,39.42,4.5
HYDROLASE,129,1.23,14630.62,293,2,38.49,4.5
HYDROLASE,129,1.55,15824.01,293,2.02,39.22,4.5
HYDROLASE,129,1.5,15676.52,293,2.01,38.94,4.5
HYDROLASE,147,1.7,16293.11,293,1.79,31.31,4.5
HYDROLASE,147,1.85,16293.11,293,1.8,31.7,4.5
HYDROLASE,351,2.8,37746.2,293,1.97,37.7,4.5
HYDROLASE,129,2,14690.58,293,2.01,38.83,4.5
HYDROLASE,129,1.8,14448.05,293,2.02,38.97,4.5
HYDROLASE,129,1.8,14448.05,293,2.02,38.97,4.5
HYDROLASE,129,1.8,14448.05,293,2.1,41.57,4.5
HYDROLASE,1368,3.2,154900.81,293,2.84,56.63,4.5
HYDROLASE,129,1.7,14989.96,293,2.05,39.9,4.5
HYDROLASE,129,2,14883.6,293,2.09,41.1,4.5
HYDROLASE,1988,2.2,230899.66,293,2.88,57.34,4.5
HYDROLASE,339,1.87,41287.11,293,3.09,60.16,4.5
HYDROLASE,842,1.6,98524.02,293,1.8,31.5,4.5
HYDROLASE,446,2.78,50298.3,293,2.18,43.68,4.5
HYDROLASE,446,1.8,50324.1,293,2.59,52.51,4.5
HYDROLASE,223,3.01,25180.04,293,2.32,46.99,4.5
HYDROLASE,446,2.1,50348.61,293,2.3,46.5,4.5
HYDROLASE,446,2.25,50360.08,293,2.59,52.42,4.5
HYDROLASE,223,2.8,25180.04,293,2.33,47.25,4.5
HYDROLASE,446,1.9,50358.64,293,2.07,40.65,4.5
HYDROLASE,446,2.08,50336.46,293,2.16,43.12,4.5
HYDROLASE,446,2.26,50448.76,293,2.1,41.55,4.5
HYDROLASE,446,2,50288.41,293,2.18,43.49,4.5
HYDROLASE,446,2,50336.51,293,2.07,40.54,4.5
HYDROLASE,446,2.4,50360.57,293,2.15,42.87,4.5
HYDROLASE,446,2.1,50518.77,293,2.25,45.35,4.5
HYDROLASE,446,1.9,50689.25,293,2.23,44.86,4.5
HYDROLASE,446,1.74,50349.45,293,2.21,44.42,4.5
HYDROLASE,446,2,50210.36,293,2.25,45.41,4.5
HYDROLASE,446,2.29,50880.75,293,2.72,54.72,4.5
HYDROLASE,446,2.2,50494.66,293,2.25,45.33,4.5
HYDROLASE,446,1.8,50457.07,293,2.26,45.51,4.5
HYDROLASE,223,1.95,25317.84,293,2.49,50.66,4.5
HYDROLASE,446,2.78,50418.34,293,2.17,43.28,4.5
HYDROLASE,223,2.1,25397.33,293,2.6,52.65,4.5
HYDROLASE,446,2.69,50618.53,293,2.81,56.16,4.5
HYDROLASE,892,2.2,101433,293,2.84,56.76,4.5
HYDROLASE,223,2.18,25392.91,293,2.56,51.89,4.5
HYDROLASE,669,2,75696.63,293,2.5,50.76,4.5
HYDROLASE,128,1.79,14276.44,293,1.98,37.72,4.5
